timestamp,recording,method,SNR_dB,PRD_pct,RMSE,CC,Se,PPV,F1,TP,FP,FN,FHR_MAE_bpm,n_detected,n_reference
20260624_133318,a36,PHASE_cinc2013,,,,,87.5,99.3243,93.038,147.0,1.0,21.0,15.9558,148.0,168.0
20260624_133318,a37,PHASE_cinc2013,,,,,33.0986,34.3066,33.6918,47.0,90.0,95.0,22.664,137.0,142.0
20260624_133318,a38,PHASE_cinc2013,,,,,74.5223,79.0541,76.7213,117.0,31.0,40.0,22.5221,148.0,157.0
20260624_133318,a39,PHASE_cinc2013,,,,,37.037,36.2319,36.63,50.0,88.0,85.0,25.3259,138.0,135.0
20260624_133318,a40,PHASE_cinc2013,,,,,90.5405,95.7143,93.0556,134.0,6.0,14.0,9.2491,140.0,148.0
20260624_133318,a41,PHASE_cinc2013,,,,,98.5294,99.2593,98.893,134.0,1.0,2.0,2.2651,135.0,136.0
20260624_133318,a42,PHASE_cinc2013,,,,,94.0397,99.3007,96.5986,142.0,1.0,9.0,8.4455,143.0,151.0
20260624_133318,a43,PHASE_cinc2013,,,,,100.0,100.0,100.0,158.0,0.0,0.0,3.8175,158.0,158.0
20260624_133318,a44,PHASE_cinc2013,,,,,93.865,100.0,96.8354,153.0,0.0,10.0,8.4497,153.0,163.0
20260624_133318,a45,PHASE_cinc2013,,,,,92.8571,91.5493,92.1986,130.0,12.0,10.0,9.2327,142.0,140.0
20260624_133318,a46,PHASE_cinc2013,,,,,91.6031,90.9091,91.2548,120.0,12.0,11.0,7.8266,132.0,131.0
20260624_133318,a47,PHASE_cinc2013,,,,,94.4444,95.7746,95.1049,136.0,6.0,8.0,8.5612,142.0,144.0
20260624_133318,a48,PHASE_cinc2013,,,,,94.7368,91.9708,93.3333,126.0,11.0,7.0,3.4703,137.0,133.0
20260624_133318,a49,PHASE_cinc2013,,,,,92.5676,93.8356,93.1973,137.0,9.0,11.0,3.6738,146.0,148.0
20260624_133318,a50,PHASE_cinc2013,,,,,97.8873,98.5816,98.2332,139.0,2.0,3.0,3.7998,141.0,142.0
20260624_133318,a51,PHASE_cinc2013,,,,,60.5839,62.8788,61.71,83.0,49.0,54.0,18.8456,132.0,137.0
20260624_133318,a52,PHASE_cinc2013,,,,,71.7557,68.6131,70.1493,94.0,43.0,37.0,23.6299,137.0,131.0
20260624_133318,a53,PHASE_cinc2013,,,,,92.8105,98.6111,95.6229,142.0,2.0,11.0,8.5991,144.0,153.0
20260624_133318,a54,PHASE_cinc2013,,,,,18.9189,5.1471,8.0925,7.0,129.0,30.0,37.5925,136.0,37.0
20260624_133318,a55,PHASE_cinc2013,,,,,95.8042,95.8042,95.8042,137.0,6.0,6.0,7.7655,143.0,143.0
20260624_133318,a56,PHASE_cinc2013,,,,,21.8045,20.8633,21.3235,29.0,110.0,104.0,25.9564,139.0,133.0
20260624_133318,a57,PHASE_cinc2013,,,,,100.0,100.0,100.0,148.0,0.0,0.0,2.999,148.0,148.0
20260624_133318,a58,PHASE_cinc2013,,,,,91.2409,96.8992,93.985,125.0,4.0,12.0,7.5143,129.0,137.0
20260624_133318,a59,PHASE_cinc2013,,,,,100.0,100.0,100.0,153.0,0.0,0.0,4.1103,153.0,153.0
20260624_133318,a60,PHASE_cinc2013,,,,,50.0,52.8571,51.3889,74.0,66.0,74.0,24.1774,140.0,148.0
20260624_133318,a61,PHASE_cinc2013,,,,,93.5714,96.3235,94.9275,131.0,5.0,9.0,5.6036,136.0,140.0
20260624_133318,a62,PHASE_cinc2013,,,,,39.5833,42.8571,41.1552,57.0,76.0,87.0,26.7197,133.0,144.0
20260624_133318,a63,PHASE_cinc2013,,,,,94.9275,94.2446,94.5848,131.0,8.0,7.0,5.252,139.0,138.0
20260624_133318,a64,PHASE_cinc2013,,,,,96.3235,96.3235,96.3235,131.0,5.0,5.0,3.6854,136.0,136.0
20260624_133318,a65,PHASE_cinc2013,,,,,69.4444,76.9231,72.9927,100.0,30.0,44.0,19.3628,130.0,144.0
20260624_133318,a66,PHASE_cinc2013,,,,,93.0769,96.8,94.902,121.0,4.0,9.0,6.3339,125.0,130.0
20260624_133318,a67,PHASE_cinc2013,,,,,86.3636,98.5185,92.0415,133.0,2.0,21.0,15.9813,135.0,154.0
20260624_133318,a68,PHASE_cinc2013,,,,,100.0,99.2857,99.6416,139.0,1.0,0.0,4.3943,140.0,139.0
20260624_133318,a69,PHASE_cinc2013,,,,,88.5906,100.0,93.9502,132.0,0.0,17.0,13.9223,132.0,149.0
20260624_133318,a70,PHASE_cinc2013,,,,,92.9078,98.4962,95.6204,131.0,2.0,10.0,7.4391,133.0,141.0
20260624_133318,a71,PHASE_cinc2013,,,,,20.915,23.7037,22.2222,32.0,103.0,121.0,40.7474,135.0,153.0
20260624_133318,a72,PHASE_cinc2013,,,,,89.2216,98.0263,93.4169,149.0,3.0,18.0,11.6732,152.0,167.0
20260624_133318,a73,PHASE_cinc2013,,,,,24.4604,24.8175,24.6377,34.0,103.0,105.0,22.694,137.0,139.0
20260624_133318,a74,PHASE_cinc2013,,,,,70.7143,73.3333,72.0,99.0,36.0,41.0,15.4944,135.0,140.0
20260624_133318,a75,PHASE_cinc2013,,,,,96.2687,95.5556,95.9108,129.0,6.0,5.0,4.3332,135.0,134.0
